Labels,TC1,TC2,TC3,TC1,TC2,TC3
6,2.04514,2.19511,-0.784051,0.625042,3.74655,4.0456
4,-2.34982,-2.25164,-2.33946,2.09083,-1.3477,0.460504
6,-2.07398,-1.57846,-1.19039,0.621383,1.63759,2.94306
2,0.604429,0.288804,-2.27162,2.09077,-0.333509,0.580483
9,-1.53661,-1.94958,-3.21157,3.53067,1.1904,-2.85765
1,-4.76437,-4.22764,2.09503,-2.82053,-0.0507815,-0.680707
2,3.23905,3.11459,1.98996,-1.87403,0.357168,1.84905
0,3.4477,4.82186,2.08701,-1.32813,4.06815,-0.478661
5,5.86527,5.86609,4.32429,-3.1283,-1.30558,-1.54837
9,0.394553,-0.401456,-4.55989,4.48697,1.75589,-0.258489
2,-1.37103,-0.845638,4.97583,-5.18907,0.15227,2.62468
7,0.411399,0.0288141,-4.20219,4.39159,1.53192,-1.53576
7,-2.63586,-2.7088,-2.81186,2.59935,-2.66278,-1.87999
2,1.42102,1.06524,-1.25403,0.993317,3.63498,2.21965
8,0.411943,0.515659,0.629523,-0.590745,3.16275,-0.543765
8,-1.80959,-1.48225,0.861219,-0.927715,1.96286,0.827678
5,1.64251,1.72015,1.99135,-1.43295,-4.17335,-0.405816
0,7.58105,7.35286,-0.981411,1.81021,0.382235,-0.0592242
6,0.979673,1.3487,0.227689,-0.45902,3.74724,5.37726
0,10.2875,9.86026,0.356078,0.922643,0.203857,-1.25707
0,2.33186,3.13403,0.592383,-0.036351,2.87667,0.759663
2,-0.281944,-0.169533,0.34755,-0.554909,-0.16162,1.5091
9,-1.89359,-2.19085,-1.34685,1.15594,-3.66241,-0.371901
0,4.28963,5.28027,1.81851,-1.04322,0.3941,-1.71215
4,0.145542,-0.796724,-3.09304,3.17219,-2.44264,0.885807
7,-0.612421,-1.22722,-3.27726,3.35791,1.89376,-1.13477
7,-1.97563,-2.07055,0.566001,-0.581868,1.41608,-0.821024
1,-4.16507,-3.79387,2.03743,-3.24589,0.647387,0.44545
5,0.635336,0.893896,1.41404,-0.904184,-4.11166,-3.09255
7,-0.281468,-0.427216,-1.31739,1.42184,-2.14617,-1.17966
9,0.310236,-0.289981,-3.40924,3.50596,1.48691,-0.932363
4,1.29471,0.56209,-5.0149,4.66756,1.95912,2.03773
6,-1.05914,-1.36197,-2.26529,1.71077,0.42552,3.91273
1,-3.01488,-2.79697,2.95986,-3.01992,1.80144,-0.236278
5,0.540312,0.788249,1.46036,-1.18652,0.578995,1.1553
7,-3.48441,-3.67129,-1.77625,1.38663,0.39401,-0.796618
6,0.821825,0.985979,-0.155485,-0.112915,-0.260562,3.85711
5,0.3425,0.884112,1.2144,-1.08786,2.33745,0.670146
0,3.22468,4.16991,1.43438,-0.861351,0.284913,-0.814943
4,2.33632,1.601,-3.04575,2.72736,0.0791511,2.75071
8,1.66261,0.791567,-1.43264,1.28829,-3.70404,-0.840737
7,-0.46353,-1.02133,1.36251,-1.47484,0.691767,-0.052825
6,-0.480928,-0.178596,1.09239,-0.904382,-0.372054,0.375689
1,-4.19292,-3.99841,2.9478,-3.26244,1.37232,-0.125169
8,-3.58126,-3.22735,2.21817,-2.56393,1.19299,0.0705631
7,-2.91727,-3.09903,-3.14076,2.97314,-2.07884,-2.04369
3,-0.477739,0.173713,3.35619,-3.02834,-2.53253,-2.4278
7,0.281051,-0.561153,-4.71623,4.75921,-3.1049,-2.8608
3,-0.838428,-0.653728,0.156352,-0.294694,-0.845338,-0.148626
1,-4.53845,-4.20815,2.51403,-3.59595,0.754891,0.151124
0,6.09233,6.19021,-1.01553,1.74604,6.32622,1.58469
3,-2.23105,-1.60695,3.07467,-3.36814,-1.84275,-1.80934
4,-1.13476,-1.39348,-2.13025,1.70977,2.6633,3.1313
5,-2.12709,-1.39484,-0.49529,0.175524,1.85423,-0.0863394
4,-0.823392,-0.614953,-2.82947,2.55111,2.11487,1.17665
0,3.24137,3.95476,2.5151,-1.56492,0.395666,-1.92776
5,1.98859,2.22555,-0.0113333,0.241298,1.52744,-1.42735
4,-0.146981,-0.797385,-2.25932,2.34432,3.37748,2.79655
0,1.08877,1.44323,0.607079,-0.482914,3.12814,-1.26012
3,-0.161785,0.626433,2.87318,-2.66073,-1.36015,-1.33373
5,0.124686,0.987249,0.676888,-0.270236,2.71751,-2.46667
1,-4.34131,-3.94337,3.78837,-4.21481,1.65128,-0.0871238
0,3.95393,4.54787,1.73965,-0.93837,-0.236773,-1.92479
8,-1.24821,-1.06897,0.0343833,-0.137419,2.02,0.647525
3,2.62926,2.53494,4.61682,-3.66522,-4.42464,-4.5057
7,-1.17519,-1.45607,-3.09544,3.02262,0.77179,-1.55932
0,4.2992,4.96884,1.02923,-0.36932,3.82058,-0.117501
9,-2.46731,-2.461,-1.6627,1.47532,-3.17378,-1.37251
6,4.49783,3.07023,-2.09145,1.74601,0.960062,6.85609
6,-1.06359,-0.765627,1.05039,-1.52062,2.60133,3.77608
9,-2.09964,-2.1242,-2.20998,2.10175,-0.356373,-1.12971
5,-1.3614,-0.912652,-0.313626,-0.0605482,4.58559,1.34377
4,0.332831,-0.322045,-5.19755,4.9344,-0.472508,0.484612
6,-3.7005,-2.91345,1.40278,-1.93714,1.06936,0.758116
9,-2.06657,-2.13083,-2.4396,2.30943,-1.64446,-1.07573
3,-2.50523,-2.25268,1.31308,-1.56146,-1.58679,-2.00981
5,0.279987,0.808708,2.73206,-2.37764,-3.02868,-1.8289
4,2.00786,1.19505,-1.86871,1.92276,-0.0677721,1.88994
2,3.80928,3.13701,1.24147,-1.26232,3.09333,2.95401
4,0.886892,0.402272,-1.74206,1.64362,4.35785,3.27041
8,-1.15993,-1.09851,0.339686,-0.486871,-1.79991,-1.43601
7,-1.01452,-1.21707,-0.26922,0.161765,1.73112,-0.170403
7,-3.46188,-3.33823,-0.336562,-0.237504,-0.970395,0.434235
5,-0.724251,0.0877839,2.44973,-2.42475,3.19109,-2.39403
8,-1.9596,-1.837,-0.381745,0.19306,-1.95725,-0.364289
8,2.15529,1.06285,1.29873,-0.822177,-3.87953,-1.50857
8,0.274005,0.377853,1.94666,-2.00036,3.67799,0.070806
2,-0.141522,0.264739,1.2071,-0.996494,0.951484,0.570264
6,1.7615,1.11662,-0.241122,0.15526,-2.10354,3.12069
9,-2.07487,-2.3377,-2.42389,2.06956,0.771973,0.855217
3,-0.0969132,0.662033,3.26218,-2.78694,-2.84078,-2.16022
1,-4.66368,-4.17188,2.164,-2.64781,0.645644,0.0351693
0,2.69147,3.04146,0.391367,-0.303966,-1.40484,0.820329
4,-0.422405,-1.23419,-2.64264,2.66573,0.924497,0.0533849
1,-3.54185,-3.26565,3.45182,-3.58048,1.94824,0.186124
5,0.743483,1.5453,1.39642,-1.09765,1.66987,-0.828359
9,3.43784,2.18049,-4.65028,4.87053,0.644652,0.031785
0,6.46682,7.01799,0.573538,0.464546,3.96217,-1.48347
6,2.19135,1.32862,-2.83423,2.08184,0.765383,6.54218
2,-3.1048,-2.58068,1.22685,-1.81317,1.10596,1.27162
1,-0.379372,-0.245905,-0.159075,-0.311622,-0.824447,1.35697
3,-3.74908,-3.91398,-1.52614,0.730608,-1.78173,-0.62938
0,3.12124,3.11793,0.342957,0.312312,-3.22962,-1.89198
6,1.87848,2.16265,1.79714,-1.51315,0.00512592,2.16299
0,2.11607,3.01028,-0.0519011,0.218795,3.86342,1.10321
0,5.05459,4.82179,0.149773,0.573726,-2.97797,0.233098
8,0.911669,0.292389,-1.36894,1.21782,-1.50863,0.122786
3,0.55262,0.0528091,2.25418,-1.90983,-5.02796,-3.07522
2,0.330137,0.158408,1.88972,-1.98726,2.61732,3.91077
0,5.31608,5.77087,0.93736,0.00651743,-0.853843,-1.54213
0,0.0981089,0.664909,0.818153,-0.472512,0.224369,-0.598048
6,2.19756,2.23361,-0.738483,0.646266,3.64401,5.58469
0,7.39974,7.62393,0.753841,0.383132,-1.84387,-2.77633
0,5.07722,5.45793,0.64723,0.172365,1.29841,-1.28263
4,1.77739,1.00102,-2.29651,2.24088,-0.862464,1.84744
7,-0.910701,-1.52837,-4.68691,4.72066,-0.684192,-2.60769
2,2.60812,2.27088,-0.509181,0.734743,3.37841,0.724232
7,-1.84902,-2.01728,-2.24935,2.41185,2.81177,-1.08179
1,-4.27495,-3.92946,0.998858,-2.17217,0.182486,0.395476
9,-2.22467,-2.31251,-3.12961,2.89021,-0.230061,-1.40213
9,-2.6794,-2.52938,-1.28062,0.933387,-1.93659,-1.31055
3,-1.20036,-0.85164,3.00438,-2.97712,-3.48932,-2.05474
9,-0.763364,-1.33065,-4.07606,4.059,-1.32776,-1.88608
8,3.75723,2.86385,0.477565,0.0487272,-1.96419,-0.833731
4,-0.655884,-0.5544,-1.88672,1.93314,0.472629,1.56479
6,-2.98867,-2.56049,1.60535,-2.11795,1.27846,1.30903
6,0.794988,1.55045,1.31984,-1.09122,2.07686,1.07043
5,-3.63106,-2.92247,2.7941,-3.37868,2.0323,-0.51363
3,0.435359,0.0158216,1.40062,-0.989511,-4.47488,-3.15913
8,2.00145,1.82817,0.527225,-0.419732,2.45437,0.0384179
1,-4.81701,-4.40973,2.51335,-3.17757,1.01865,0.147455
8,-2.23649,-2.02839,1.59002,-1.88504,-1.41123,-0.766195
7,-2.56984,-2.62812,-2.81863,2.57252,-1.21865,-1.58818
1,-4.33502,-3.84383,4.16006,-4.5818,1.67483,0.0126111
3,-0.395122,0.11483,3.90684,-3.6837,-3.27525,-2.21882
7,-1.21935,-1.93398,-4.55769,4.55923,-2.15783,-2.58429
6,0.869339,0.978679,-0.347794,0.101316,1.27325,4.67193
3,-0.246556,0.229569,3.39292,-3.00156,0.637986,-0.152189
6,3.19428,2.6791,-1.00654,1.07444,0.358376,2.11678
3,-0.843682,-0.415833,3.60809,-3.28193,-0.967361,-2.43434
6,1.61934,0.585702,-2.8469,2.4598,0.246682,4.15945
3,0.907383,0.878371,3.40855,-2.85831,-2.69176,-2.14893
2,-2.69509,-2.71828,0.251823,-0.79748,0.0529478,2.80839
3,-3.04,-2.47736,1.16634,-1.83641,-1.68858,-1.82862
2,-1.25449,-0.270172,0.387167,-0.790229,0.42491,1.86615
2,-0.709774,-0.147448,3.83548,-3.66699,-1.81023,-0.798197
7,1.59958,0.629705,-4.14067,4.55963,-1.63753,-2.81309
9,-1.28141,-1.95316,-2.0615,1.61297,-2.36801,0.676992
2,1.66995,2.05942,6.62586,-6.90786,-0.594429,2.67955
3,4.87373,5.37871,4.75378,-4.12489,2.10767,0.639816
2,2.68348,2.48292,2.18083,-2.34391,4.44746,4.06897
7,-1.25802,-1.73983,-2.77532,2.87078,2.13518,-0.45546
5,0.117285,0.880795,3.24478,-2.97136,0.633398,-0.502574
5,-2.0991,-1.45478,-0.589521,0.2985,1.62713,1.01157
8,-0.15194,-0.504126,1.73738,-1.84143,5.09715,-0.2768
8,-0.519141,-1.16259,-2.65895,2.26498,-3.17819,-1.32842
2,-1.9143,-1.23845,3.69014,-4.10819,0.966595,2.56841
0,8.77557,8.70248,1.6912,-0.919757,1.37479,1.23194
1,-3.68376,-3.13466,3.45723,-3.85092,0.701788,0.0324156
4,0.925991,0.441796,-5.24315,4.9586,2.19857,1.27498
0,0.596952,0.501488,-1.45178,1.57383,0.422451,0.570251
6,1.38066,1.44248,1.53452,-1.60872,0.178577,3.21152
3,3.44115,3.52491,3.18045,-2.12754,-1.77806,-3.3349
7,-2.60849,-2.96417,-2.44556,1.9872,-2.56459,-0.245574
1,-4.08335,-3.54523,2.31234,-2.75228,0.192525,-0.219815
1,-4.10888,-3.67357,0.66307,-1.71317,-0.520974,-0.116089
1,-4.46595,-4.09674,3.28183,-3.74651,1.61579,-0.114803
4,2.7915,1.70946,-5.29195,5.21919,0.770599,2.23685
7,-0.986449,-1.61156,-4.55539,4.38949,-0.487091,-2.33965
0,4.65047,4.82756,1.82812,-1.0857,-4.24417,-3.42612
2,1.78373,1.95001,4.32437,-4.02845,1.39259,1.60258
9,-2.52628,-3.17984,-3.10431,2.72669,-2.39893,-1.36154
2,0.386081,0.872728,5.6612,-5.37194,-1.00597,0.456357
0,5.63003,6.58827,1.60592,-0.697972,3.01918,0.317791
5,1.31162,1.9172,0.123292,0.227085,2.26393,-0.00918943
6,3.84361,3.79642,-0.92258,1.15248,3.15199,5.03422
0,4.4385,4.4959,0.245211,0.294863,-1.52859,-0.917703
8,0.542507,0.806977,1.39577,-1.23346,-1.05883,-2.24169
9,-0.662801,-1.46141,-2.33533,2.15464,-3.00405,-0.124164
6,2.91322,2.92106,0.215771,-0.112015,1.02545,5.07381
2,-2.05624,-1.3723,4.50947,-4.48403,-1.30185,-0.659221
0,6.47949,6.65261,1.37597,-0.340207,-3.40162,-3.95601
0,5.24536,4.94613,-1.44821,2.0864,-2.98855,-0.9176
7,-1.79935,-2.41703,-4.39305,4.23702,-1.68527,-2.62019
2,1.91279,1.96613,1.08943,-1.34678,4.17137,4.04368
0,5.22616,5.72308,1.73474,-0.993825,-1.1267,-0.691879
4,3.25502,1.87048,-4.7795,4.70927,-1.00358,1.42269
2,0.0304909,0.816654,2.82136,-3.30533,-0.0499667,2.56953
0,4.69503,5.32349,0.422933,0.0417499,0.751171,3.08519
9,-1.27209,-1.63921,-3.83658,3.7299,-2.2187,-0.51957
1,-4.6655,-4.20669,2.07273,-2.46658,0.313666,-0.835954
6,0.960565,0.854944,-0.303117,0.331537,-0.549232,3.89195
9,-2.36393,-2.4896,-2.44185,2.09161,-0.642054,0.0927917
3,-0.337623,0.271314,2.56003,-2.41403,0.690252,-0.717349
0,3.74895,4.23131,2.00801,-1.38616,-3.43885,-2.28886
0,8.43967,8.68896,3.50591,-2.3984,-1.76872,-2.46194
2,-1.55012,-0.748189,4.50485,-4.73398,-0.379388,1.5219
0,8.82135,8.95724,2.68291,-1.14563,-3.00703,-3.07279
6,-1.39258,-1.49451,-1.61522,0.931685,2.74108,3.92261
8,-2.17717,-1.90426,1.4076,-1.58498,1.17266,0.23979
4,4.34902,2.77788,-4.54692,5.0458,3.38882,1.1854
0,5.73002,6.04936,1.14759,-0.188715,-0.678523,-0.5961
7,-1.4317,-2.01095,-1.9528,1.50525,-1.00808,0.787785
2,-2.99431,-2.83391,0.369436,-1.12181,-0.449253,2.45736
1,-3.48696,-2.99221,0.667377,-1.65241,-0.94332,-0.44954
9,-2.19951,-2.66577,-2.97428,2.89445,0.986583,-0.432916
5,2.20955,1.98107,1.36119,-0.791067,-6.66791,-2.61086
2,2.58793,2.99985,1.08598,-0.971959,1.51894,1.19017
4,-0.409848,-0.958486,-1.70834,1.53854,-1.92451,1.46552
8,-1.39805,-1.41746,1.38788,-1.73325,0.210105,-0.0557163
5,2.84296,3.09605,0.149304,0.450791,-0.139635,-2.24629
2,3.11092,2.82339,1.0793,-1.20845,5.37527,4.32315
9,0.000983741,-0.599096,-3.18408,3.14301,-1.53831,0.479962
7,-2.07368,-2.69247,-3.42956,3.4157,0.886863,-2.49853
9,1.19391,0.707409,-1.24497,1.62779,0.476788,-2.45677
2,-0.032109,-0.121378,1.78615,-2.16748,0.836622,3.00085
9,-2.72556,-2.64256,-1.95419,1.67871,-1.2294,0.222071
7,-0.646302,-0.813962,-4.17671,4.02058,-0.567469,-1.66661
4,1.50183,0.350651,-2.95385,3.05738,-2.1524,1.59862
9,0.151928,-0.518098,-2.87776,2.76761,-2.90277,-1.17112
3,1.33924,1.29902,3.65664,-3.03819,-2.63336,-1.84103
2,2.68677,2.91792,-0.0921914,-0.0516414,2.36825,2.77836
7,-2.89228,-2.68088,1.47515,-1.5803,1.61217,-0.608304
3,-0.77553,-0.60466,1.32033,-1.44254,-3.83191,-1.76327
6,-0.216334,0.114319,0.0818003,-0.541954,3.33873,5.22482
3,3.52739,3.81619,5.30566,-4.08958,-3.25151,-3.53544
6,0.433719,1.08879,2.25865,-2.336,3.23738,3.8567
8,2.12619,1.57141,2.22031,-1.91963,-3.00748,0.55383
8,3.24108,2.68398,-1.22296,1.44768,0.613393,-0.623704
3,1.81457,1.63607,1.55024,-1.28368,-4.04458,-1.20155
7,-2.62522,-2.77968,-1.62744,1.44317,0.535395,-0.881391
0,4.63203,4.85012,1.62671,-0.917321,-3.15798,-2.17127
9,-0.992706,-1.60823,-3.60254,3.8637,1.73224,-0.98763
2,1.49049,1.79639,3.9038,-3.54208,2.07959,1.70416
7,-0.067891,-0.433844,-2.79807,2.79676,-2.19427,-1.55331
9,-1.85133,-1.94406,-2.365,2.25181,3.11308,0.404256
0,7.56813,7.20224,0.340857,0.375066,-0.84355,0.990924
5,-2.16543,-1.70728,0.172389,-0.0937633,1.73464,-1.6104
4,1.75477,0.900245,-4.77514,4.65505,-0.0588212,0.952379
5,2.1925,2.86979,3.38969,-2.82324,-0.35809,1.25338
8,-0.0928952,0.0809541,3.02394,-2.84024,2.85592,0.381929
4,-0.817359,-1.47591,-3.61798,3.35432,0.261459,1.8164
3,1.19142,1.91933,4.50008,-3.81753,-2.35806,-2.15848
3,0.48707,0.831165,2.97163,-2.45397,-4.26007,-3.8861
1,-4.09287,-3.75588,1.01064,-2.2161,-0.0467516,0.0739214
7,-2.48577,-3.1149,-3.8844,3.69028,-0.715991,-2.3162
8,0.781882,0.406344,-1.32156,1.27429,2.97094,0.469861
9,-0.150997,-1.15117,-5.57728,5.48803,-0.258272,-0.597279
7,-2.26971,-2.28927,-3.0182,3.17072,1.0606,-1.76052
6,-2.30691,-1.64261,0.470946,-1.24333,0.733846,2.16068
2,2.79961,3.12518,2.23579,-2.50197,5.804,4.00784
1,-3.86728,-3.3564,1.77203,-2.10042,0.291904,-0.0838264
7,-1.25393,-1.66776,-4.31455,4.08215,-0.328937,-2.26859
0,5.3107,5.47423,-0.683275,1.22786,4.25549,0.472949
5,0.445791,1.04411,1.47184,-0.852545,0.851355,-2.20374
6,-2.40364,-1.6071,1.01733,-1.38579,2.00414,2.05882
5,2.28296,3.14634,2.65983,-1.88023,-0.619009,-1.84298
2,-2.12914,-1.82366,2.62409,-2.8112,-2.15854,-0.876827
9,1.20118,0.706235,-2.02572,2.26496,1.15726,1.54415
5,5.24203,4.99745,1.4412,-0.335742,-2.78033,-2.82212
4,-2.5856,-2.60904,-1.34687,1.08981,0.577111,0.902047
6,3.45976,3.21866,-2.49459,2.7913,-0.0889726,2.30611
2,3.11333,3.65089,1.66101,-1.71316,3.61713,3.63752
2,4.61515,4.2619,0.00990053,0.124137,3.77399,2.57449
2,0.501112,0.555226,1.69676,-1.84218,1.8024,1.24341
9,-1.1126,-1.05666,-2.26589,2.51287,1.88783,-1.50014
0,6.85541,7.10041,2.20332,-1.25799,-2.89514,-1.82601
7,2.23928,0.868162,-5.13278,5.41605,-4.26816,-2.45846
7,-2.39962,-2.66208,-0.623657,0.678615,0.81897,-1.35378
2,-2.50211,-1.9761,3.53066,-4.23405,0.32284,1.09043
2,2.56011,2.21828,-0.402699,0.199532,3.48667,4.02722
6,-0.288127,0.417926,2.06353,-1.88259,0.559548,1.34951
3,0.803721,0.709748,3.45776,-3.05807,-3.80027,-3.58833
4,1.49684,0.941348,-2.0763,1.93544,-0.205251,2.11521
2,0.261666,0.136573,2.81778,-2.67201,-1.51817,-2.4149
0,5.40017,5.26855,0.912001,-0.210458,-3.23023,-1.27431
5,-2.85174,-2.0552,1.50288,-1.88232,1.98981,-1.73362
9,-1.86834,-2.07637,-2.65574,2.94686,1.63397,-1.57975
6,1.48907,2.12473,1.05055,-0.772139,-0.205262,1.45173
2,-1.4745,-0.554468,3.52974,-3.86548,0.215654,2.05972
1,-3.98665,-3.42518,0.511385,-1.43492,-0.784884,-0.245835
9,-2.7607,-2.86471,-3.2441,2.984,-0.795858,-0.660554
0,5.7095,6.39162,1.50062,-0.328526,3.45834,-1.18059
6,1.88333,1.68092,-0.89596,0.631347,1.45028,3.86335
0,4.23617,4.53236,-1.2611,1.91443,4.70491,-0.82441
4,-3.72817,-3.30099,-0.80314,0.66093,-0.0265807,-0.386972
8,0.0416887,0.587195,2.34054,-2.03371,-1.30102,0.462805
4,1.87041,0.871221,-5.11328,5.10817,0.322499,1.81106
3,1.58052,1.8538,3.06478,-2.5536,-2.45521,-2.38662
1,-4.04601,-3.76369,2.73438,-2.93396,1.94018,0.271074
5,-2.5939,-1.72143,1.27861,-1.54476,2.44835,-0.915966
4,0.720664,-0.0737199,-3.17286,2.75547,-1.17411,2.63848
2,-0.0847085,-0.392129,-1.10143,0.715547,0.736271,2.43825
9,-1.01057,-1.40337,-2.16334,2.47416,2.74342,-1.51665
5,2.8514,3.29156,1.60222,-0.676181,-0.15023,-2.2033
7,0.688034,0.157666,-4.54953,4.55039,-0.0262764,-2.61654
3,0.665623,0.363913,0.162125,0.120929,0.853891,-2.05556
1,-4.17459,-3.74665,0.957387,-2.07523,-0.553527,-0.317584
5,-0.490468,0.329248,1.58,-1.46658,0.0938472,-0.774034
4,-2.00572,-2.07607,-1.62784,1.32489,-1.69817,0.863356
5,-2.63388,-1.73677,0.927881,-1.18087,2.05818,-0.528848
3,1.38164,1.04328,3.69419,-3.15901,-5.95024,-4.47576
7,-2.56818,-2.40254,-2.44767,2.60682,2.00918,-1.44605
3,-0.603837,-0.304259,1.66111,-1.55827,-0.816511,-2.03771
8,-0.325267,-0.144981,2.20483,-2.26863,2.41066,-0.621395
